num_target;      la; isd;  niter;     tex; tr_acc; te_acc;        L*
         8;  0.1000;   3;     19;  0.0891;   91.2;   87.2;  1.70e-01
         8;  0.1000;   7;   2126;  0.0485;   56.4;   90.0;  3.91e-01
         9;  0.0000;   1;    750;  2.0057;  100.0;   96.8;  1.35e-06
         9;  0.0000;   3;     11;  0.0580;   99.2;   98.4;  8.00e-03
         9;  0.0000;   7;   1376;  0.0520;   98.8;   99.2;  9.99e-03
         9;  0.0100;   1;    216;  0.5910;   99.2;   98.8;  6.37e-02
         9;  0.0100;   3;     45;  0.1988;   99.2;   98.8;  6.37e-02
         9;  0.0100;   7;   2501;  0.0598;   92.4;   98.8;  1.05e-01
         9;  0.1000;   1;     45;  0.1527;   98.4;   96.8;  1.58e-01
         9;  0.1000;   3;     19;  0.1106;   98.4;   96.8;  1.58e-01
         9;  0.1000;   7;   2376;  0.0599;   55.6;   91.6;  3.73e-01
         0;  0.0000;   1;    436;  1.1261;  100.0;   98.8;  9.79e-07
         0;  0.0000;   3;   1001;  2.9177;   99.6;   99.6;  3.48e-03
         0;  0.0000;   7;   1751;  0.0463;   99.2;   99.6;  5.93e-03
         0;  0.0100;   1;    190;  0.5453;   99.6;   99.6;  5.31e-02
         0;  0.0100;   3;     50;  0.2148;   99.6;   99.6;  5.31e-02
         0;  0.0100;   7;   2126;  0.0558;   96.8;   99.6;  7.57e-02
         0;  0.1000;   1;     42;  0.1662;   99.6;   99.2;  1.44e-01
         0;  0.1000;   3;     19;  0.1067;   99.6;   99.2;  1.44e-01
         0;  0.1000;   7;   2501;  0.0647;   52.4;   92.0;  3.57e-01
